# Drude model, T=0K, L=150nm, omegap=9eV, gamma=35meV, theta1=-1.8325715
# L/R, E/E_PFA-1, E/E_PFA-1-theta1*(L/R)
0.09999999999999999 -0.12350276978907437 0.059754380210925634
0.08729710697387488 -0.11033809344653867 0.04964009682623571
0.07620750796368457 -0.09845105522044695 0.04120465195982445
0.06652710757876809 -0.08774005994485934 0.03417562138142509
0.05807605640346597 -0.07810580406619405 0.0283227217311902
0.05069862708117864 -0.06945537369671462 0.023453485381381547
0.0442583626176166 -0.061700665461739246 0.01940594850797034
0.038636193871269355 -0.05475931944842183 0.016044268308541054
0.033728253708421495 -0.04855481216992563 0.013254624320896913
0.029443748699567767 -0.043016189339637356 0.010941585380352593
0.025703504929932244 -0.03807813771254853 0.009025372872154797
0.022438395385469195 -0.03368074570112778 0.0074392181880145805
0.019588024665240657 -0.029769117762786346 0.00612733798003072
0.017099765733209454 -0.0262933324647886 0.005043210874567654
0.014927601134497684 -0.02320788929484008 0.004148007107608046
0.013031353436367901 -0.02047151405794989 0.003409372855964987
0.011375960320650401 -0.018046860123260733 0.002800400545494054
0.009930881067768332 -0.015900338800930558 0.0022987108137512563
0.00866931755132236 -0.014001454379734657 0.0018856898892684881
0.007568074833123949 -0.01232309793958597 0.0015459403094642363
0.00660670712907744 -0.010840623576657049 0.0012666396169370882
0.005767456167333128 -0.00953208597873878 0.0010371898210151421
0.005034807301141894 -0.008377824084151664 0.0008488202839128899
0.004395230881478204 -0.007360296616706452 0.0006942782326103819
0.003836905919066864 -0.006463836854565641 0.0005675675808976006
0.0033495077340133577 -0.005674472542375852 0.0004637398700066079
0.0029240165070478544 -0.004979760043663739 0.00037870927268170845
0.002552578870432798 -0.004368665721911191 0.0003091175675461475
0.0022283261853581144 -0.0038313757479051525 0.0002521913120858456
0.0019452603731009393 -0.0033591780971902185 0.0002056506226339296
0.0016981542195736046 -0.002944367298272854 0.00016762172712247612
0.001482433166971389 -0.0025801018344452364 0.00013656293800127237
0.0012941186620538524 -0.002260354424860278 0.00011121055283774351
0.001129730747505178 -0.0019797862899236796 9.052608062800564e-05
0.0009862192299600252 -0.001733660074221044 7.365717935564446e-05
0.0008609408361457399 -0.0015178264938160435 5.990914569080938e-05
0.0007515745486794834 -0.0013286095729613256 4.870452507405856e-05
0.000656101966993697 -0.0011627740047692736 3.9579761037316155e-05
0.000572757368523546 -0.001017467598530053 3.215123144119456e-05
0.0005 -0.0008901692270436579 2.6116522956342258e-05
