# L, R, T, 1-E/E_PFA
3.5e-08, 1.4e-05, 300, 0.003890813
3.745e-08, 1.4e-05, 300, 0.0041342034
3.99e-08, 1.4e-05, 300, 0.0043741954
4.235e-08, 1.4e-05, 300, 0.0046109604
4.48e-08, 1.4e-05, 300, 0.0048446747
4.725e-08, 1.4e-05, 300, 0.005075513
4.97e-08, 1.4e-05, 300, 0.0053036253
5.215e-08, 1.4e-05, 300, 0.0055291615
5.46e-08, 1.4e-05, 300, 0.0057522704
5.705e-08, 1.4e-05, 300, 0.0059730776
5.95e-08, 1.4e-05, 300, 0.0061917156
6.195e-08, 1.4e-05, 300, 0.0064082956
6.44e-08, 1.4e-05, 300, 0.006622944
6.685e-08, 1.4e-05, 300, 0.0068357503
6.93e-08, 1.4e-05, 300, 0.0070468098
7.175e-08, 1.4e-05, 300, 0.00725624
7.42e-08, 1.4e-05, 300, 0.0074640997
7.665e-08, 1.4e-05, 300, 0.0076704873
7.91e-08, 1.4e-05, 300, 0.0078754834
8.155e-08, 1.4e-05, 300, 0.0080791571
8.4e-08, 1.4e-05, 300, 0.0082815679
8.645e-08, 1.4e-05, 300, 0.0084828058
8.89e-08, 1.4e-05, 300, 0.0086829146
9.135e-08, 1.4e-05, 300, 0.0088819539
9.38e-08, 1.4e-05, 300, 0.0090799919
9.625e-08, 1.4e-05, 300, 0.009277076
9.87e-08, 1.4e-05, 300, 0.0094732571
1.0115e-07, 1.4e-05, 300, 0.0096685838
1.036e-07, 1.4e-05, 300, 0.0098631077
1.0605e-07, 1.4e-05, 300, 0.010056855
1.085e-07, 1.4e-05, 300, 0.010249896
1.1095e-07, 1.4e-05, 300, 0.010442258
1.134e-07, 1.4e-05, 300, 0.010633972
1.1585e-07, 1.4e-05, 300, 0.010825077
1.183e-07, 1.4e-05, 300, 0.011015626
1.2075e-07, 1.4e-05, 300, 0.011205629
1.232e-07, 1.4e-05, 300, 0.011395129
1.2565e-07, 1.4e-05, 300, 0.011584174
1.281e-07, 1.4e-05, 300, 0.011772765
1.3055e-07, 1.4e-05, 300, 0.011960948
1.33e-07, 1.4e-05, 300, 0.012148743
1.3545e-07, 1.4e-05, 300, 0.012336187
1.379e-07, 1.4e-05, 300, 0.012523296
1.4035e-07, 1.4e-05, 300, 0.0127101
1.428e-07, 1.4e-05, 300, 0.012896627
1.4525e-07, 1.4e-05, 300, 0.013082891
1.477e-07, 1.4e-05, 300, 0.013268924
1.5015e-07, 1.4e-05, 300, 0.013454745
1.526e-07, 1.4e-05, 300, 0.01364037
1.5505e-07, 1.4e-05, 300, 0.013825804
1.575e-07, 1.4e-05, 300, 0.014011099
1.5995e-07, 1.4e-05, 300, 0.014196266
1.624e-07, 1.4e-05, 300, 0.014381318
1.6485e-07, 1.4e-05, 300, 0.014566254
1.673e-07, 1.4e-05, 300, 0.014751126
1.6975e-07, 1.4e-05, 300, 0.014935935
1.722e-07, 1.4e-05, 300, 0.015120679
1.7465e-07, 1.4e-05, 300, 0.015305408
1.771e-07, 1.4e-05, 300, 0.015490122
1.7955e-07, 1.4e-05, 300, 0.015674822
1.82e-07, 1.4e-05, 300, 0.015859547
1.8445e-07, 1.4e-05, 300, 0.016044299
1.869e-07, 1.4e-05, 300, 0.016229079
1.8935e-07, 1.4e-05, 300, 0.016413932
1.918e-07, 1.4e-05, 300, 0.016598835
1.9425e-07, 1.4e-05, 300, 0.016783832
1.967e-07, 1.4e-05, 300, 0.016968906
1.9915e-07, 1.4e-05, 300, 0.017154102
2.016e-07, 1.4e-05, 300, 0.017339398
2.0405e-07, 1.4e-05, 300, 0.017524842
2.065e-07, 1.4e-05, 300, 0.017710401
2.0895e-07, 1.4e-05, 300, 0.017896128
2.114e-07, 1.4e-05, 300, 0.018082007
2.1385e-07, 1.4e-05, 300, 0.018268067
2.163e-07, 1.4e-05, 300, 0.018454292
2.1875e-07, 1.4e-05, 300, 0.018640726
2.212e-07, 1.4e-05, 300, 0.018827336
2.2365e-07, 1.4e-05, 300, 0.019014164
2.261e-07, 1.4e-05, 300, 0.019201223
2.2855e-07, 1.4e-05, 300, 0.019388491
2.31e-07, 1.4e-05, 300, 0.019576023
2.3345e-07, 1.4e-05, 300, 0.019763774
2.359e-07, 1.4e-05, 300, 0.01995178
2.3835e-07, 1.4e-05, 300, 0.020140067
2.408e-07, 1.4e-05, 300, 0.020328595
2.4325e-07, 1.4e-05, 300, 0.020517412
2.457e-07, 1.4e-05, 300, 0.020706532
2.4815e-07, 1.4e-05, 300, 0.020895918
2.506e-07, 1.4e-05, 300, 0.021085613
2.5305e-07, 1.4e-05, 300, 0.021275625
2.555e-07, 1.4e-05, 300, 0.021465934
2.5795e-07, 1.4e-05, 300, 0.021656562
2.604e-07, 1.4e-05, 300, 0.021847538
2.6285e-07, 1.4e-05, 300, 0.022038828
2.653e-07, 1.4e-05, 300, 0.022230459
2.6775e-07, 1.4e-05, 300, 0.022422437
2.702e-07, 1.4e-05, 300, 0.022614788
2.7265e-07, 1.4e-05, 300, 0.022807477
2.751e-07, 1.4e-05, 300, 0.023000523
2.7755e-07, 1.4e-05, 300, 0.023193968
2.8e-07, 1.4e-05, 300, 0.023387768
